turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_3GDqmjRy1UP64as,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_1JVJLU02q5CMMxV,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2Xoiv3iLpbRN6Pc,Florida,Higher dispersion,560.0,180.0,1,3,260,No
R_3MPrs2yAiZNeMpT,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_3lxcXIwO7KsYZp7,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_3iwZih8fMtmROvv,Colorado,Equal dispersion,0.0,240.0,0,1,340,No
R_1jOLo66V5SnlgVr,Florida,Higher dispersion,580.0,260.0,0,6,320,No
R_3p9KUtIccA2O98v,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_20SWti2enKJB1qi,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_3k22IDs5tYKC3iJ,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_3RpxLCo4CqlHZ4M,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_3NzctzVDzX9hf1b,Florida,Higher dispersion,680.0,260.0,0,2,320,No
R_1FR1QYcSO9jkuI2,Colorado,Equal dispersion,0.0,380.0,0,1,340,Yes
R_elJDazoZjAFYLWV,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1ghYiQE5Ke2Kk4R,Florida,Equal dispersion,620.0,220.0,1,3,260,No
R_21FYUjlZEH1euVk,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_1N3RxOYmTuI3LiF,Florida,Higher dispersion,650.0,280.0,0,3,260,No
R_DN152kjJMOqtr4l,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_UaRArZWgucgnWGl,Florida,Higher dispersion,500.0,160.0,1,3,260,No
R_2P0tAhIvR4sKqAo,Florida,Higher dispersion,640.0,240.0,0,5,300,No
R_3MyuwkXP5oiKlCX,Florida,Higher dispersion,600.0,250.0,0,5,300,No
