startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 21:56,16/07/2019 22:02,32¢,A2RDAKQ44MG3PX,5,32.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 22:00,16/07/2019 22:03,32¢,A1X2SSCWCB9N76,5,32.0,62.0,62.0,Higher dispersion,Red,No,No
16/07/2019 22:00,16/07/2019 22:03,32¢,A1D2ZSPIHOI23K,5,32.0,60.0,60.0,Higher dispersion,Blue,No,No
16/07/2019 22:01,16/07/2019 22:03,38¢,A3HYQDJBC8X5XQ,2,38.0,0.4,40.0,Equal dispersion,Red,Yes,No
16/07/2019 22:00,16/07/2019 22:03,30¢,A27WX2YYJPPP76,1,30.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 21:59,16/07/2019 22:03,38¢,AQWPC9W9LXMRM,2,38.0,42.0,42.0,Equal dispersion,Blue,No,No
16/07/2019 22:00,16/07/2019 22:03,38¢,AVKYS273GAXRM,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:00,16/07/2019 22:04,38¢,A1QLECDJCDF2R9,2,38.0,0.38,38.0,Equal dispersion,Red,Yes,No
16/07/2019 22:01,16/07/2019 22:04,30¢,A2K9GHFRY094XA,1,30.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 22:00,16/07/2019 22:04,32¢,A1DXH9HLH4NXSX,5,32.0,46.0,46.0,Higher dispersion,Blue,No,No
16/07/2019 22:02,16/07/2019 22:05,38¢,AQY65G88SXG0W,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:04,16/07/2019 22:06,32¢,A25R3QTJ643L5A,5,32.0,48.0,48.0,Higher dispersion,Red,No,No
16/07/2019 21:57,16/07/2019 22:07,38¢,A2VOC7DMBTU46D,2,38.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 22:05,16/07/2019 22:07,38¢,A260WLIP65I8NC,2,38.0,42.0,42.0,Equal dispersion,Red,No,No
16/07/2019 22:01,16/07/2019 22:07,38¢,AXNXM8GLQAK9K,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:03,16/07/2019 22:08,32¢,A1WTGB90S9KIRW,5,32.0,42.0,42.0,Higher dispersion,Blue,No,No
16/07/2019 22:05,16/07/2019 22:08,38¢,A1DYYR23NBB0SW,2,38.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 22:05,16/07/2019 22:08,32¢,A2DOMBSKO75VV7,5,32.0,37.0,37.0,Equal dispersion,Blue,No,No
16/07/2019 22:02,16/07/2019 22:09,32¢,A2SHH2OMU8GVSD,5,32.0,20.0,20.0,Equal dispersion,Blue,Yes,Yes
16/07/2019 22:06,16/07/2019 22:09,38¢,A285V89IZGGO78,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:07,16/07/2019 22:09,38¢,A3EC6P9YZVIR6X,2,38.0,48.0,48.0,Higher dispersion,Red,No,No
16/07/2019 22:07,16/07/2019 22:09,30¢,A3LMA3YJDQUZP2,1,30.0,36.0,36.0,Equal dispersion,Red,No,No
16/07/2019 22:05,16/07/2019 22:09,32¢,A10FKIZILEOZ10,5,32.0,44.0,44.0,Higher dispersion,Blue,No,No
16/07/2019 22:07,16/07/2019 22:09,38¢,A1CLIU8B1Y747D,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:09,16/07/2019 22:11,38¢,A1OO7CVFIHCQ9Z,2,38.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 22:09,16/07/2019 22:11,30¢,A3PM52Y3NBMHCD,1,30.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 22:09,16/07/2019 22:11,38¢,APTQ8W4J4WTOY,2,38.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:10,16/07/2019 22:12,38¢,A4UP04TAX6WRO,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:09,16/07/2019 22:12,32¢,A7AM0BDTS6MUM,5,32.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:09,16/07/2019 22:12,38¢,A2F8QFEJPG2JQN,2,38.0,42.0,42.0,Higher dispersion,Blue,No,No
16/07/2019 22:07,16/07/2019 22:13,32¢,A2JTSH1VPJQ8FR,5,32.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 22:09,16/07/2019 22:14,38¢,A3ACOOXY35NDFS,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:11,16/07/2019 22:14,30¢,A1LK4T9P64HPV6,1,30.0,43.0,43.0,Equal dispersion,Red,No,No
16/07/2019 22:11,16/07/2019 22:14,30¢,A11SDQ8ZAJ8D24,1,30.0,56.0,56.0,Higher dispersion,Blue,No,No
16/07/2019 22:11,16/07/2019 22:14,30¢,A183BXKTSGWVJE,1,30.0,34.0,34.0,Equal dispersion,Blue,No,No
16/07/2019 22:10,16/07/2019 22:14,32¢,A2M1EWMNPN7K63,5,32.0,0.4,40.0,Higher dispersion,Red,Yes,No
16/07/2019 22:12,16/07/2019 22:15,38¢,ALIGIF7U7EENT,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:11,16/07/2019 22:15,32¢,A3G0ORYQ2AU6B8,5,32.0,38.0,38.0,Higher dispersion,Blue,No,No
16/07/2019 22:12,16/07/2019 22:15,32¢,A317GC1UBNPWH1,5,32.0,0.38,38.0,Equal dispersion,Blue,Yes,No
16/07/2019 22:13,16/07/2019 22:16,30¢,A3JJ4USGDJ2TAX,1,30.0,42.0,42.0,Higher dispersion,Red,No,No
16/07/2019 22:13,16/07/2019 22:16,30¢,A1VHHLLMR6HKFH,1,30.0,58.0,58.0,Higher dispersion,Red,No,No
16/07/2019 22:14,16/07/2019 22:16,38¢,A1SM999MZ9JVHV,2,38.0,50.0,50.0,Equal dispersion,Red,No,No
16/07/2019 21:47,16/07/2019 22:17,30¢,A3LOWKHQVTZXEK,1,30.0,36.0,36.0,Higher dispersion,Blue,No,No
16/07/2019 22:15,16/07/2019 22:18,38¢,A16CSTMEU48B8,2,38.0,46.0,46.0,Higher dispersion,Blue,No,No
16/07/2019 22:13,16/07/2019 22:18,38¢,A28GXI90JIF3I7,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:13,16/07/2019 22:18,38¢,A2A8YVGW9PSY25,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:15,16/07/2019 22:18,30¢,A2P378KJPT9LH6,1,30.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:15,16/07/2019 22:18,30¢,A1ODM2VVCGZ8UH,1,30.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:16,16/07/2019 22:19,32¢,AUMCN6PZOOVT,5,32.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:18,16/07/2019 22:21,30¢,A3SP5S9328H7U9,1,30.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 22:17,16/07/2019 22:21,38¢,A12ZO39VZ879ZS,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:19,16/07/2019 22:21,38¢,A1SQVVV8AZJDSZ,2,38.0,46.0,46.0,Higher dispersion,Red,No,No
16/07/2019 22:19,16/07/2019 22:21,30¢,A2VLU7XKOMBDGR,1,30.0,24.0,24.0,Equal dispersion,Red,Yes,Yes
16/07/2019 22:18,16/07/2019 22:21,38¢,A2J7IJGD9JSNNP,2,38.0,42.0,42.0,Equal dispersion,Red,No,No
16/07/2019 22:17,16/07/2019 22:22,38¢,A3PGDFH28Q2P1X,2,38.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 22:17,16/07/2019 22:22,38¢,ALI864QMXSK5V,2,38.0,0.4,40.0,Equal dispersion,Blue,Yes,No
16/07/2019 22:19,16/07/2019 22:22,32¢,A1GY6AZR1AU1DR,5,32.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:19,16/07/2019 22:22,38¢,ALZKOU140DTS9,2,38.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 22:19,16/07/2019 22:23,32¢,A2X396EEYA5SOL,5,32.0,32.0,32.0,Equal dispersion,Red,No,No
16/07/2019 22:20,16/07/2019 22:23,30¢,A1MKFWAKNE6UTH,1,30.0,32.0,32.0,Higher dispersion,Blue,No,No
16/07/2019 22:21,16/07/2019 22:23,30¢,A22HJKS6ZY5W45,1,30.0,0.3,30.0,Equal dispersion,Red,Yes,Yes
16/07/2019 22:21,16/07/2019 22:25,30¢,A3NXT3OVGL7QNR,1,30.0,48.0,48.0,Higher dispersion,Blue,No,No
16/07/2019 22:13,16/07/2019 22:25,32¢,A6JUD4NCQCDWG,5,32.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:23,16/07/2019 22:26,38¢,A3MYXBDB0QQLPD,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:23,16/07/2019 22:27,32¢,A2XY90S4YHFYTC,5,32.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 22:25,16/07/2019 22:29,32¢,A1MHYUYIYC2T9K,5,32.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 22:27,16/07/2019 22:30,38¢,A2XADMTPZ29YYQ,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 22:27,16/07/2019 22:30,38¢,A1K1QRPZD3OU1B,2,38.0,42.0,42.0,Higher dispersion,Red,No,No
16/07/2019 22:28,16/07/2019 22:31,32¢,ALB9Q6PW38CHZ,5,32.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 22:29,16/07/2019 22:32,32¢,A1H0CKH0Z6FSBS,5,32.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 22:28,16/07/2019 22:32,32¢,A3W2TEQC53S3WW,5,32.0,42.0,42.0,Higher dispersion,Blue,No,No
16/07/2019 22:30,16/07/2019 22:33,38¢,A2K3BIM1X1896M,2,38.0,48.0,48.0,Higher dispersion,Blue,No,No
16/07/2019 22:31,16/07/2019 22:33,38¢,A1YJ6N4VENDA55,2,38.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 22:29,16/07/2019 22:33,30¢,A1VHY3EB2AQNCA,1,30.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:31,16/07/2019 22:34,30¢,A1P3J34DH57JNB,1,30.0,34.0,34.0,Higher dispersion,Red,No,No
16/07/2019 22:31,16/07/2019 22:34,38¢,A143S9PO1285XX,2,38.0,42.0,42.0,Equal dispersion,Red,No,No
16/07/2019 22:32,16/07/2019 22:34,32¢,A9UOBCHD8L7ZU,5,32.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 22:32,16/07/2019 22:35,38¢,A2XYW90JQ39YQI,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 22:33,16/07/2019 22:35,38¢,A2ZWPAEN36GADI,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
